Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_563,LOW VOLTAGE MAST,POLE,375352.607N,0302307.425E,3068.73,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_564,LOW VOLTAGE MAST,POLE,375352.799N,0302303.285E,3063.16,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_565,LOW VOLTAGE MAST,POLE,375352.901N,0302301.251E,3060.03,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_566,LOW VOLTAGE MAST,POLE,375352.961N,0302259.226E,3056.30,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_567,LOW VOLTAGE MAST,POLE,375353.036N,0302255.173E,3049.67,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_568,LOW VOLTAGE MAST,POLE,375353.016N,0302257.201E,3051.49,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_569,GSM MAST,POLE,375336.505N,0302516.973E,3244.17,180.44,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_570,LOW VOLTAGE MAST,POLE,375336.707N,0302517.132E,3115.19,52.49,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_571,BUILDING,BUILDING,375410.076N,0302510.652E,3348.06,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_572,BUILDING,BUILDING,375412.227N,0302511.730E,3372.60,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_573,BUILDING,BUILDING,375751.253N,0303000.487E,3536.96,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_574,BUILDING,BUILDING,375750.665N,0302944.096E,3533.72,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_575,LOW VOLTAGE MAST,POLE,375147.467N,0301727.033E,3403.67,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_576,HIGH VOLTAGE MAST,POLE,375144.755N,0301826.239E,3322.65,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_577,MEDIUM VOLTAGE MAST,POLE,375144.523N,0301825.394E,3312.67,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_578,MEDIUM VOLTAGE MAST,POLE,375149.696N,0301819.261E,3296.90,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_579,GSM MAST,POLE,375224.084N,0301922.971E,3182.38,131.23,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_580,LOW VOLTAGE MAST,POLE,375153.267N,0301819.499E,3237.94,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_581,LOW VOLTAGE MAST,POLE,375147.696N,0301732.448E,3365.58,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_582,LOW VOLTAGE MAST,POLE,375150.283N,0301737.826E,3330.24,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_583,LOW VOLTAGE MAST,POLE,375152.733N,0301742.784E,3287.02,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_584,LOW VOLTAGE MAST,POLE,375157.292N,0301816.669E,3201.10,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_585,LOW VOLTAGE MAST,POLE,375146.666N,0301832.533E,3275.87,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_586,LOW VOLTAGE MAST,POLE,375148.846N,0301836.986E,3254.52,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_587,MEDIUM VOLTAGE MAST,POLE,375135.405N,0301858.878E,3105.13,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_588,MEDIUM VOLTAGE MAST,POLE,375135.448N,0301901.257E,3095.52,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_589,BUILDING,BUILDING,375139.547N,0301902.987E,3079.62,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_590,BUILDING,BUILDING,375212.707N,0301854.558E,3114.68,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_591,BUILDING,BUILDING,375227.071N,0301905.072E,3093.19,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_592,BUILDING,BUILDING,375227.124N,0301901.613E,3075.41,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_593,BUILDING,BUILDING,375227.220N,0301901.841E,3075.16,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_594,BUILDING,BUILDING,375226.572N,0301902.042E,3095.06,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_595,BUILDING,BUILDING,375227.781N,0301904.115E,3093.08,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_596,BUILDING,BUILDING,375227.827N,0301902.960E,3083.79,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_597,BUILDING,BUILDING,375227.693N,0301902.544E,3074.38,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_598,BUILDING,BUILDING,375227.573N,0301902.139E,3074.69,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_599,BUILDING,BUILDING,375227.807N,0301901.783E,3074.84,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_600,BUILDING,BUILDING,375228.545N,0301901.951E,3093.75,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_601,BUILDING,BUILDING,375228.601N,0301902.468E,3073.73,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_602,BUILDING,BUILDING,375228.430N,0301902.604E,3073.74,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_603,BUILDING,BUILDING,375228.664N,0301902.851E,3083.21,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_604,BUILDING,BUILDING,375228.634N,0301903.240E,3082.90,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_605,BUILDING,BUILDING,375228.563N,0301903.599E,3082.64,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_606,BUILDING,BUILDING,375228.167N,0301903.007E,3073.71,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_607,BUILDING,BUILDING,375228.593N,0301903.936E,3072.50,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_608,BUILDING,BUILDING,375228.220N,0301903.758E,3073.04,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_609,BUILDING,BUILDING,375229.034N,0301904.897E,3081.38,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_610,BUILDING,BUILDING,375229.195N,0301905.520E,3081.09,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_611,BUILDING,BUILDING,375227.341N,0301906.785E,3092.20,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_612,BUILDING,BUILDING,375226.343N,0301907.562E,3092.80,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_613,BUILDING,BUILDING,375226.086N,0301859.900E,3087.26,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_614,BUILDING,BUILDING,375227.104N,0301859.942E,3086.36,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_615,BUILDING,BUILDING,375226.697N,0301900.631E,3086.31,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_616,BUILDING,BUILDING,375228.408N,0301902.917E,3073.50,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_617,BUILDING,BUILDING,375227.933N,0301903.374E,3073.54,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_618,BUILDING,BUILDING,375228.534N,0301902.200E,3073.93,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_619,BUILDING,BUILDING,375228.266N,0301901.835E,3074.48,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_620,BUILDING,BUILDING,375228.274N,0301902.156E,3074.27,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_621,BUILDING,BUILDING,375228.211N,0301903.450E,3073.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_622,BUILDING,BUILDING,375227.793N,0301900.707E,3095.29,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_623,BUILDING,BUILDING,375227.743N,0301900.142E,3075.79,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_624,BUILDING,BUILDING,375228.473N,0301900.757E,3094.56,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_625,BUILDING,BUILDING,375228.559N,0301900.163E,3074.96,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_626,BUILDING,BUILDING,375228.554N,0301859.500E,3085.11,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_627,BUILDING,BUILDING,375228.288N,0301900.088E,3075.33,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_628,BUILDING,BUILDING,375227.894N,0301901.184E,3075.21,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_629,BUILDING,BUILDING,375228.088N,0301900.004E,3075.53,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_630,BUILDING,BUILDING,375226.571N,0301859.747E,3077.13,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_631,BUILDING,BUILDING,375226.941N,0301900.322E,3076.51,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_632,BUILDING,BUILDING,375226.263N,0301858.824E,3087.33,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_633,BUILDING,BUILDING,375225.325N,0301858.785E,3078.51,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_634,BUILDING,BUILDING,375224.539N,0301857.658E,3089.45,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_635,BUILDING,BUILDING,375214.562N,0301839.414E,3114.36,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_636,BUILDING,BUILDING,375218.184N,0301843.306E,3113.47,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_637,BUILDING,BUILDING,375217.585N,0301844.260E,3098.94,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_638,BUILDING,BUILDING,375218.042N,0301844.594E,3106.78,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_639,BUILDING,BUILDING,375220.066N,0301844.257E,3094.71,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_640,BUILDING,BUILDING,375219.644N,0301845.681E,3095.57,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_641,BUILDING,BUILDING,375219.320N,0301846.188E,3088.33,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_642,BUILDING,BUILDING,375218.981N,0301846.146E,3091.43,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_643,BUILDING,BUILDING,375218.826N,0301845.732E,3093.26,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_644,BUILDING,BUILDING,375219.091N,0301845.126E,3090.26,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_645,BUILDING,BUILDING,375218.991N,0301845.386E,3091.50,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_646,BUILDING,BUILDING,375218.759N,0301845.080E,3102.57,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_647,BUILDING,BUILDING,375218.488N,0301845.528E,3095.63,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_648,BUILDING,BUILDING,375218.335N,0301844.941E,3095.73,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_649,BUILDING,BUILDING,375225.069N,0301856.595E,3098.92,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_650,BUILDING,BUILDING,375225.450N,0301856.542E,3088.75,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_651,BUILDING,BUILDING,375224.660N,0301856.628E,3089.50,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_652,BUILDING,BUILDING,375225.797N,0301856.223E,3088.34,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_653,BUILDING,BUILDING,375225.945N,0301856.997E,3088.11,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_654,BUILDING,BUILDING,375225.894N,0301856.599E,3078.43,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_655,BUILDING,BUILDING,375226.264N,0301856.537E,3087.84,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_656,BUILDING,BUILDING,375226.351N,0301856.196E,3087.71,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_657,BUILDING,BUILDING,375226.640N,0301856.198E,3087.37,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_658,BUILDING,BUILDING,375227.045N,0301856.273E,3096.76,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_659,BUILDING,BUILDING,375227.377N,0301856.201E,3096.57,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_660,BUILDING,BUILDING,375226.577N,0301856.632E,3077.64,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_661,BUILDING,BUILDING,375226.526N,0301856.981E,3077.73,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_662,BUILDING,BUILDING,375226.331N,0301857.094E,3077.94,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_663,BUILDING,BUILDING,375226.794N,0301856.656E,3077.39,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_664,BUILDING,BUILDING,375226.121N,0301857.306E,3077.99,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_665,BUILDING,BUILDING,375226.454N,0301857.411E,3077.67,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_666,BUILDING,BUILDING,375226.927N,0301857.860E,3096.78,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_667,BUILDING,BUILDING,375226.499N,0301857.936E,3087.38,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_668,BUILDING,BUILDING,375227.500N,0301857.875E,3086.49,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_669,BUILDING,BUILDING,375227.538N,0301857.337E,3076.59,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_670,BUILDING,BUILDING,375227.195N,0301857.186E,3076.97,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_671,BUILDING,BUILDING,375227.078N,0301856.683E,3077.06,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_672,BUILDING,BUILDING,375226.832N,0301857.015E,3077.38,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_673,BUILDING,BUILDING,375228.523N,0301857.055E,3085.42,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_674,BUILDING,BUILDING,375228.645N,0301856.592E,3085.77,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_675,BUILDING,BUILDING,375228.246N,0301856.357E,3086.24,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_676,BUILDING,BUILDING,375227.916N,0301856.343E,3086.42,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_677,BUILDING,BUILDING,375225.553N,0301857.850E,3088.38,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_678,BUILDING,BUILDING,375225.165N,0301857.894E,3078.92,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_679,BUILDING,BUILDING,375225.090N,0301857.301E,3079.13,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_680,BUILDING,BUILDING,375225.154N,0301858.252E,3078.79,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_681,BUILDING,BUILDING,375225.054N,0301857.582E,3079.10,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_682,BUILDING,BUILDING,375225.037N,0301857.009E,3079.21,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_683,BUILDING,BUILDING,375224.736N,0301857.093E,3079.53,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_684,BUILDING,BUILDING,375224.540N,0301857.083E,3079.74,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_685,BUILDING,BUILDING,375225.515N,0301857.407E,3088.50,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_686,BUILDING,BUILDING,375225.521N,0301856.910E,3078.72,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_687,BUILDING,BUILDING,375225.912N,0301857.732E,3088.04,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_688,BUILDING,BUILDING,375225.959N,0301858.033E,3087.90,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_689,BUILDING,BUILDING,375225.545N,0301858.155E,3078.47,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_690,BUILDING,BUILDING,375225.909N,0301858.991E,3077.87,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_691,BUILDING,BUILDING,375218.952N,0301849.425E,3115.96,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_692,BUILDING,BUILDING,375221.136N,0301850.270E,3103.41,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_693,BUILDING,BUILDING,375221.072N,0301850.887E,3084.96,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_694,BUILDING,BUILDING,375220.987N,0301851.516E,3096.18,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_695,BUILDING,BUILDING,375220.986N,0301851.785E,3086.16,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_696,BUILDING,BUILDING,375220.768N,0301851.236E,3087.15,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_697,BUILDING,BUILDING,375220.901N,0301850.794E,3085.85,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_698,BUILDING,BUILDING,375220.394N,0301850.178E,3087.75,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_699,BUILDING,BUILDING,375316.269N,0302437.006E,2991.16,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_700,BUILDING,BUILDING,375316.919N,0302437.189E,2993.98,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_701,BUILDING,BUILDING,375317.557N,0302437.392E,2996.73,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_702,BUILDING,BUILDING,375317.923N,0302431.665E,3027.76,45.93,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_703,BUILDING,BUILDING,375318.200N,0302430.828E,3033.55,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_704,BUILDING,BUILDING,375318.704N,0302432.004E,3032.68,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_705,BUILDING,BUILDING,375313.612N,0302452.030E,3025.00,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
